Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912159038830000;45;45.4;43.6;65.2552
132912159038930000;45;45.4;43.6;65.2552
132912159039030000;45;45.4;43.6;65.2552
132912159039130000;45;45.4;43.6;65.2552
132912159039230000;45;45.4;43.6;65.2552
132912159039330000;45;45.4;43.6;65.25104
132912159039430000;45;45.4;43.6;65.25104
132912159039530000;45;45.4;43.6;65.25104
132912159039630000;45;45.4;43.6;65.25104
132912159039730000;45;45.4;43.6;65.25104
132912159039830000;45;45.4;43.6;65.24687
132912159039930000;45;45.4;43.6;65.24687
132912159040030000;45;45.4;43.6;65.24687
132912159040130000;45;45.4;43.6;65.24687
132912159040230000;45;45.4;43.6;65.24687
132912159040330000;45;45.4;43.6;65.2427
132912159040430000;45;45.4;43.6;65.2427
132912159040530000;45;45.4;43.6;65.2427
132912159040630000;45;45.4;43.6;65.2427
132912159040730000;45;45.4;43.6;65.2427
132912159040830000;45;45.4;43.6;65.23853
132912159040930000;45;45.4;43.6;65.23853
132912159041030000;45;45.4;43.6;65.23853
132912159041130000;45;45.4;43.6;65.23853
132912159041230000;45;45.4;43.6;65.23853
132912159041330000;45;45.4;43.6;65.23437
132912159041430000;45;45.4;43.6;65.23437
132912159041530000;45;45.4;43.6;65.23437
132912159041630000;45;45.4;43.6;65.23437
132912159041730000;45;45.4;43.6;65.23437
132912159041830000;45;45.4;43.6;65.2302
132912159041930000;45;45.4;43.6;65.2302
132912159042030000;45;45.4;43.6;65.2302
132912159042130000;45;45.4;43.6;65.2302
132912159042230000;45;45.4;43.6;65.2302
132912159042330000;45;45.4;43.6;65.2260361
132912159042430000;45;45.4;43.6;65.2260361
132912159042530000;45;45.4;43.6;65.2260361
132912159042630000;45;45.4;43.6;65.2260361
132912159042730000;45;45.4;43.6;65.2260361
132912159042830000;45;45.4;43.6;65.22187
132912159042930000;45;45.4;43.6;65.22187
132912159043030000;45;45.4;43.6;65.22187
132912159043130000;45;45.4;43.6;65.22187
132912159043230000;45;45.3;43.6;65.22187
132912159043330000;45;45.3;43.6;65.2432251
132912159043430000;45;45.3;43.6;65.2432251
132912159043530000;45;45.3;43.6;65.2432251
132912159043630000;45;45.3;43.6;65.2432251
132912159043730000;45;45.3;43.6;65.2432251
132912159043830000;45;45.3;43.6;65.2401
132912159043930000;45;45.3;43.6;65.2401
132912159044030000;45;45.3;43.6;65.2401
132912159044130000;45;45.3;43.6;65.2401
132912159044230000;45;45.3;43.6;65.2401
132912159044330000;45;45.3;43.6;65.23698
132912159044430000;45;45.3;43.6;65.23698
132912159044530000;45;45.3;43.6;65.23698
132912159044630000;45;45.3;43.6;65.23698
132912159044730000;45;45.3;43.6;65.23698
132912159044830000;45;45.3;43.6;65.23385
132912159044930000;45;45.3;43.6;65.23385
132912159045030000;45;45.3;43.6;65.23385
132912159045130000;45;45.3;43.6;65.23385
132912159045230000;45;45.3;43.6;65.23385
132912159045330000;45;45.3;43.6;65.23072
132912159045430000;45;45.3;43.6;65.23072
132912159045530000;45;45.3;43.6;65.23072
132912159045630000;45;45.3;43.6;65.23072
132912159045730000;45;45.3;43.6;65.23072
132912159045830000;45;45.3;43.6;65.2276
132912159045930000;45;45.3;43.6;65.2276
132912159046030000;45;45.3;43.6;65.2276
132912159046130000;45;45.3;43.6;65.2276
132912159046230000;45;45.3;43.6;65.2276
132912159046330000;45;45.3;43.6;65.22447
132912159046430000;45;45.3;43.6;65.22447
132912159046530000;45;45.3;43.6;65.22447
132912159046630000;45;45.3;43.6;65.22447
132912159046730000;45;45.3;43.6;65.22447
132912159046830000;45;45.3;43.6;65.22135
132912159046930000;45;45.3;43.6;65.22135
132912159047030000;45;45.3;43.6;65.22135
132912159047130000;45;45.3;43.6;65.22135
132912159047230000;45;45.3;43.6;65.22135
132912159047330000;45;45.3;43.6;65.21822
132912159047430000;45;45.3;43.6;65.21822
132912159047530000;45;45.3;43.6;65.21822
132912159047630000;45;45.3;43.6;65.21822
132912159047730000;45;45.3;43.6;65.21822
132912159047830000;45;45.3;43.6;65.2150955
132912159047930000;45;45.3;43.6;65.2150955
132912159048030000;45;45.3;43.6;65.2150955
132912159048130000;45;45.3;43.6;65.2150955
132912159048230000;45;45.3;43.6;65.2150955
132912159048330000;45;45.3;43.6;65.2119751
132912159048430000;45;45.3;43.6;65.2119751
132912159048530000;45;45.3;43.6;65.2119751
132912159048630000;45;45.3;43.6;65.2119751
132912159048730000;45;45.3;43.6;65.2119751
132912159048830000;45;45.3;43.6;65.20885
132912159048930000;45;45.3;43.6;65.20885
132912159049030000;45;45.3;43.6;65.20885
132912159049130000;45;45.3;43.6;65.20885
132912159049230000;45;45.3;43.6;65.20885
132912159049330000;45;45.3;43.6;65.20573
132912159049430000;45;45.3;43.6;65.20573
132912159049530000;45;45.3;43.6;65.20573
132912159049630000;45;45.3;43.6;65.20573
132912159049730000;45;45.3;43.6;65.20573
132912159049830000;45;45.3;43.6;65.2026
