Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912214336230000;40;41.1;39.3;20.5348759
132912214336330000;40;41.1;39.3;20.5348759
132912214336430000;40;41.1;39.3;20.5234184
132912214336530000;40;41.1;39.3;20.5234184
132912214336630000;40;41.1;39.3;20.5234184
132912214336730000;40;41.1;39.3;20.5234184
132912214336830000;40;41.1;39.3;20.5234184
132912214336930000;40;41.1;39.3;20.511961
132912214337030000;40;41.1;39.3;20.511961
132912214337130000;40;41.1;39.3;20.511961
132912214337230000;40;41.1;39.3;20.511961
132912214337330000;40;41.1;39.3;20.511961
132912214337430000;40;41.1;39.3;20.5005016
132912214337530000;40;41.1;39.3;20.5005016
132912214337630000;40;41.1;39.3;20.5005016
132912214337730000;40;41.1;39.3;20.5005016
132912214337830000;40;41.1;39.3;20.5005016
132912214337930000;40;41.1;39.3;20.4890442
132912214338030000;40;41.1;39.3;20.4890442
132912214338130000;40;41.1;39.3;20.4890442
132912214338230000;40;41.1;39.3;20.4890442
132912214338330000;40;41.1;39.3;20.4890442
132912214338430000;40;41.1;39.3;20.4775848
132912214338530000;40;41.1;39.3;20.4775848
132912214338630000;40;41.1;39.3;20.4775848
132912214338730000;40;41.1;39.3;20.4775848
132912214338830000;40;41.1;39.3;20.4775848
132912214338930000;40;41.1;39.3;20.4661274
132912214339030000;40;41.1;39.3;20.4661274
132912214339130000;40;41.1;39.3;20.4661274
132912214339230000;40;41.1;39.3;20.4661274
132912214339330000;40;41.1;39.3;20.4661274
132912214339430000;40;41.1;39.3;20.454668
132912214339530000;40;41.1;39.3;20.454668
132912214339630000;40;41.1;39.3;20.454668
132912214339730000;40;41.1;39.3;20.454668
132912214339830000;40;41.1;39.3;20.454668
132912214339930000;40;41.1;39.3;20.44321
132912214340030000;40;41.1;39.3;20.44321
132912214340130000;40;41.1;39.3;20.44321
132912214340230000;40;41.1;39.3;20.44321
132912214340330000;40;41.1;39.3;20.44321
132912214340430000;40;41.1;39.3;20.4317513
132912214340530000;40;41.1;39.3;20.4317513
132912214340630000;40;41.1;39.3;20.4317513
132912214340730000;40;41.1;39.3;20.4317513
132912214340830000;40;41.1;39.3;20.4317513
132912214340930000;40;41.1;39.3;20.4202938
132912214341030000;40;41.1;39.3;20.4202938
132912214341130000;40;41.1;39.3;20.4202938
132912214341230000;40;41.1;39.3;20.4202938
132912214341330000;40;41.1;39.3;20.4202938
132912214341430000;40;41.1;39.3;20.4088345
132912214341530000;40;41.1;39.3;20.4088345
132912214341630000;40;41.1;39.3;20.4088345
132912214341730000;40;41.1;39.3;20.4088345
132912214341830000;40;41.1;39.3;20.4088345
132912214341930000;40;41.1;39.3;20.397377
132912214342030000;40;41.1;39.3;20.397377
132912214342130000;40;41.1;39.3;20.397377
132912214342230000;40;41.1;39.3;20.397377
132912214342330000;40;41.1;39.3;20.397377
132912214342430000;40;41.1;39.3;20.3859177
132912214342530000;40;41.1;39.3;20.3859177
132912214342630000;40;41.1;39.3;20.3859177
132912214342730000;40;41.1;39.3;20.3859177
132912214342830000;40;41.1;39.3;20.3859177
132912214342930000;40;41.1;39.3;20.37446
132912214343030000;40;41.1;39.3;20.37446
132912214343130000;40;41.1;39.3;20.37446
