Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912101106130000;25;25.1;25.5;15.5713568
132912101106230000;25;25.1;25.5;15.5713568
132912101106330000;25;25.1;25.5;15.5713568
132912101106430000;25;25.1;25.5;15.5713568
132912101106530000;25;25.1;25.5;15.5723991
132912101106630000;25;25.1;25.5;15.5723991
132912101106730000;25;25.1;25.5;15.5723991
132912101106830000;25;25.1;25.5;15.5723991
132912101106930000;25;25.1;25.5;15.5723991
132912101107030000;25;25.1;25.5;15.5734406
132912101107130000;25;25.1;25.5;15.5734406
132912101107230000;25;25.1;25.5;15.5734406
132912101107330000;25;25.1;25.5;15.5734406
132912101107430000;25;25.1;25.5;15.5734406
132912101107530000;25;25.1;25.5;15.574482
132912101107630000;25;25.1;25.5;15.574482
132912101107730000;25;25.1;25.5;15.574482
132912101107830000;25;25.1;25.5;15.574482
132912101107930000;25;25.1;25.5;15.574482
132912101108030000;25;25.1;25.5;15.5755234
132912101108130000;25;25.1;25.5;15.5755234
132912101108230000;25;25.1;25.5;15.5755234
132912101108330000;25;25.1;25.5;15.5755234
132912101108430000;25;25.1;25.5;15.5755234
132912101108530000;25;25.1;25.5;15.5765657
132912101108630000;25;25.1;25.5;15.5765657
132912101108730000;25;25.1;25.5;15.5765657
132912101108830000;25;25.1;25.5;15.5765657
132912101108930000;25;25.1;25.5;15.5765657
132912101109030000;25;25.1;25.5;15.5776072
132912101109130000;25;25.1;25.5;15.5776072
132912101109230000;25;25.1;25.5;15.5776072
132912101109330000;25;25.1;25.5;15.5776072
132912101109430000;25;25.1;25.5;15.5776072
132912101109530000;25;25.1;25.5;15.5786486
132912101109630000;25;25.1;25.5;15.5786486
132912101109730000;25;25.1;25.5;15.5786486
132912101109830000;25;25.1;25.5;15.5786486
132912101109930000;25;25.1;25.5;15.5786486
132912101110030000;25;25.1;25.5;15.57969
132912101110130000;25;25.1;25.5;15.57969
132912101110230000;25;25.1;25.5;15.57969
132912101110330000;25;25.1;25.5;15.57969
132912101110430000;25;25.1;25.5;15.57969
132912101110530000;25;25.1;25.5;15.5807323
132912101110630000;25;25.1;25.5;15.5807323
132912101110730000;25;25.1;25.5;15.5807323
132912101110830000;25;25.1;25.5;15.5807323
132912101110930000;25;25.1;25.5;15.5807323
132912101111030000;25;25.1;25.5;15.5817738
132912101111130000;25;25.1;25.5;15.5817738
132912101111230000;25;25.1;25.5;15.5817738
132912101111330000;25;25.1;25.5;15.5817738
132912101111430000;25;25.1;25.5;15.5817738
132912101111530000;25;25.1;25.5;15.5828152
132912101111630000;25;25.1;25.5;15.5828152
132912101111730000;25;25.1;25.5;15.5828152
132912101111830000;25;25.1;25.5;15.5828152
132912101111930000;25;25.1;25.5;15.5828152
132912101112030000;25;25.1;25.5;15.5838575
132912101112130000;25;25.1;25.5;15.5838575
132912101112230000;25;25.1;25.5;15.5838575
132912101112330000;25;25.1;25.5;15.5838575
132912101112430000;25;25.1;25.5;15.5838575
132912101112530000;25;25.1;25.5;15.5848989
132912101112630000;25;25.1;25.5;15.5848989
132912101112730000;25;25.1;25.5;15.5848989
132912101112830000;25;25.1;25.5;15.5848989
132912101112930000;25;25.1;25.5;15.5848989
132912101113030000;25;25.1;25.5;15.58594
132912101113130000;25;25.1;25.5;15.58594
132912101113230000;25;25.1;25.5;15.58594
132912101113330000;25;25.1;25.5;15.58594
132912101113430000;25;25.1;25.5;15.58594
132912101113530000;25;25.1;25.5;15.5869818
132912101113630000;25;25.1;25.5;15.5869818
132912101113730000;25;25.1;25.5;15.5869818
132912101113830000;25;25.1;25.5;15.5869818
132912101113930000;25;25.1;25.5;15.5869818
