Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912180656030000;45;44.7;44;28.3932171
132912180656130000;45;44.7;44;28.3932171
132912180656230000;45;44.7;44;28.3932171
132912180656330000;45;44.7;44;28.3932171
132912180656430000;45;44.7;44;28.3932171
132912180656530000;45;44.7;44;28.3963413
132912180656630000;45;44.7;44;28.3963413
132912180656730000;45;44.7;44;28.3963413
132912180656830000;45;44.7;44;28.3963413
132912180656930000;45;44.7;44;28.3963413
132912180657030000;45;44.7;44;28.3994675
132912180657130000;45;44.7;44;28.3994675
132912180657230000;45;44.7;44;28.3994675
132912180657330000;45;44.7;44;28.3994675
132912180657430000;45;44.7;44;28.3994675
132912180657530000;45;44.7;44;28.4025917
132912180657630000;45;44.7;44;28.4025917
132912180657730000;45;44.7;44;28.4025917
132912180657830000;45;44.7;44;28.4025917
132912180657930000;45;44.7;44;28.4025917
132912180658030000;45;44.7;44;28.4057178
132912180658130000;45;44.7;44;28.4057178
132912180658230000;45;44.7;44;28.4057178
132912180658330000;45;44.7;44;28.4057178
132912180658430000;45;44.7;44;28.4057178
132912180658530000;45;44.7;44;28.4088421
132912180658630000;45;44.7;44;28.4088421
132912180658730000;45;44.7;44;28.4088421
132912180658830000;45;44.7;44;28.4088421
132912180658930000;45;44.7;44;28.4088421
132912180659030000;45;44.7;44;28.4119663
132912180659130000;45;44.7;44;28.4119663
132912180659230000;45;44.7;44;28.4119663
132912180659330000;45;44.7;44;28.4119663
132912180659430000;45;44.7;44;28.4119663
132912180659530000;45;44.7;44;28.4150925
132912180659630000;45;44.7;44;28.4150925
132912180659730000;45;44.7;44;28.4150925
132912180659830000;45;44.7;44;28.4150925
132912180659930000;45;44.7;44;28.4150925
132912180660030000;45;44.7;44;28.4182167
132912180660130000;45;44.7;44;28.4182167
132912180660230000;45;44.7;44;28.4182167
132912180660330000;45;44.7;44;28.4182167
132912180660430000;45;44.7;44;28.4182167
132912180660530000;45;44.7;44;28.4213428
132912180660630000;45;44.7;44;28.4213428
132912180660730000;45;44.7;44;28.4213428
132912180660830000;45;44.7;44;28.4213428
132912180660930000;45;44.7;44;28.4213428
132912180661030000;45;44.7;44;28.4244671
132912180661130000;45;44.7;44;28.4244671
132912180661230000;45;44.7;44;28.4244671
132912180661330000;45;44.7;44;28.4244671
132912180661430000;45;44.7;44;28.4244671
132912180661530000;45;44.7;44;28.4275913
132912180661630000;45;44.7;44;28.4275913
132912180661730000;45;44.7;44;28.4275913
132912180661830000;45;44.7;44;28.4275913
132912180661930000;45;44.7;44;28.4275913
132912180662030000;45;44.7;44;28.4307175
132912180662130000;45;44.7;44;28.4307175
132912180662230000;45;44.7;44;28.4307175
132912180662330000;45;44.7;44;28.4307175
132912180662430000;45;44.7;44;28.4307175
132912180662530000;45;44.7;44;28.4338417
132912180662630000;45;44.7;44;28.4338417
132912180662730000;45;44.7;44;28.4338417
132912180662830000;45;44.7;44;28.4338417
132912180662930000;45;44.7;44;28.4338417
132912180663030000;45;44.7;44;28.4369678
132912180663130000;45;44.7;44;28.4369678
132912180663230000;45;44.7;44;28.4369678
132912180663330000;45;44.7;44;28.4369678
132912180663430000;45;44.7;44;28.4369678
132912180663530000;45;44.7;44;28.4400921
132912180663630000;45;44.7;44;28.4400921
132912180663730000;45;44.7;44;28.4400921
132912180663830000;45;44.7;44;28.4400921
132912180663930000;45;44.7;44;28.4400921
132912180664030000;45;44.7;44;28.4432163
132912180664130000;45;44.7;44;28.4432163
132912180664230000;45;44.7;44;28.4432163
132912180664330000;45;44.7;44;28.4432163
132912180664430000;45;44.7;44;28.4432163
132912180664530000;45;44.7;44;28.4463425
132912180664630000;45;44.7;44;28.4463425
132912180664730000;45;44.7;44;28.4463425
132912180664830000;45;44.7;44;28.4463425
132912180664930000;45;44.7;44;28.4463425
132912180665030000;45;44.7;44;28.4494667
132912180665130000;45;44.7;44;28.4494667
132912180665230000;45;44.7;44;28.4494667
132912180665330000;45;44.7;44;28.4494667
132912180665430000;45;44.7;44;28.4494667
132912180665530000;45;44.7;44;28.4525928
132912180665630000;45;44.7;44;28.4525928
132912180665730000;45;44.7;44;28.4525928
132912180665830000;45;44.7;44;28.4525928
132912180665930000;45;44.7;44;28.4525928
132912180666030000;45;44.7;44;28.4557171
132912180666130000;45;44.7;44;28.4557171
132912180666230000;45;44.7;44;28.4557171
132912180666330000;45;44.7;44;28.4557171
132912180666430000;45;44.7;44;28.4557171
132912180666530000;45;44.7;44;28.4588413
132912180666630000;45;44.7;44;28.4588413
132912180666730000;45;44.7;44;28.4588413
132912180666830000;45;44.7;44;28.4588413
132912180666930000;45;44.7;44;28.4588413
132912180667030000;45;44.7;44;28.4619675
132912180667130000;45;44.7;44;28.4619675
132912180667230000;45;44.7;44;28.4619675
132912180667330000;45;44.7;44;28.4619675
132912180667430000;45;44.7;44;28.4619675
132912180667530000;45;44.7;44;28.4650917
132912180667630000;45;44.7;44;28.4650917
132912180667730000;45;44.7;44;28.4650917
132912180667830000;45;44.7;44;28.4650917
132912180667930000;45;44.7;44;28.4650917
132912180668030000;45;44.7;44;28.4682178
132912180668130000;45;44.7;44;28.4682178
132912180668230000;45;44.7;44;28.4682178
132912180668330000;45;44.7;44;28.4682178
132912180668430000;45;44.7;44;28.4682178
132912180668530000;45;44.7;44;28.4713421
132912180668630000;45;44.7;44;28.4713421
132912180668730000;45;44.7;44;28.4713421
132912180668830000;45;44.7;44;28.4713421
132912180668930000;45;44.7;44;28.4713421
132912180669030000;45;44.7;44;28.4744663
132912180669130000;45;44.7;44;28.4744663
132912180669230000;45;44.7;44;28.4744663
132912180669330000;45;44.7;44;28.4744663
132912180669430000;45;44.7;44;28.4744663
132912180669530000;45;44.7;44;28.4775925
132912180669630000;45;44.7;44;28.4775925
132912180669730000;45;44.7;44;28.4775925
132912180669830000;45;44.7;44;28.4775925
132912180669930000;45;44.7;44;28.4775925
132912180670030000;45;44.7;44;28.4807167
132912180670130000;45;44.7;44;28.4807167
132912180670230000;45;44.7;44;28.4807167
132912180670330000;45;44.7;44;28.4807167
132912180670430000;45;44.7;44;28.4807167
132912180670530000;45;44.7;44;28.4838428
132912180670630000;45;44.7;44;28.4838428
132912180670730000;45;44.7;44;28.4838428
132912180670830000;45;44.7;44;28.4838428
132912180670930000;45;44.7;44;28.4838428
132912180671030000;45;44.7;44;28.4869671
132912180671130000;45;44.7;44;28.4869671
132912180671230000;45;44.7;44;28.4869671
132912180671330000;45;44.7;44;28.4869671
132912180671430000;45;44.7;44;28.4869671
132912180671530000;45;44.7;44;28.4900913
132912180671630000;45;44.7;44;28.4900913
132912180671730000;45;44.7;44;28.4900913
132912180671830000;45;44.7;44;28.4900913
132912180671930000;45;44.7;44;28.4900913
132912180672030000;45;44.7;44;28.4932175
132912180672130000;45;44.7;44;28.4932175
132912180672230000;45;44.7;44;28.4932175
132912180672330000;45;44.7;44;28.4932175
132912180672430000;45;44.7;44;28.4932175
132912180672530000;45;44.7;44;28.4963417
132912180672630000;45;44.7;44;28.4963417
132912180672730000;45;44.7;44;28.4963417
132912180672830000;45;44.7;44;28.4963417
132912180672930000;45;44.7;44;28.4963417
132912180673030000;45;44.7;44;28.4994678
132912180673130000;45;44.7;44;28.4994678
132912180673230000;45;44.7;44;28.4994678
132912180673330000;45;44.7;44;28.4994678
132912180673430000;45;44.7;44;28.4994678
132912180673530000;45;44.7;44;28.5025921
132912180673630000;45;44.7;44;28.5025921
132912180673730000;45;44.7;44;28.5025921
132912180673830000;45;44.7;44;28.5025921
132912180673930000;45;44.7;44;28.5025921
132912180674030000;45;44.7;44;28.5057163
132912180674130000;45;44.7;44;28.5057163
132912180674230000;45;44.7;44;28.5057163
132912180674330000;45;44.7;44;28.5057163
132912180674430000;45;44.7;44;28.5057163
132912180674530000;45;44.7;44;28.5088425
132912180674630000;45;44.7;44;28.5088425
132912180674730000;45;44.7;44;28.5088425
132912180674830000;45;44.7;44;28.5088425
132912180674930000;45;44.7;44;28.5088425
132912180675030000;45;44.7;44;28.5119667
132912180675130000;45;44.7;44;28.5119667
132912180675230000;45;44.7;44;28.5119667
132912180675330000;45;44.7;44;28.5119667
132912180675430000;45;44.7;44;28.5119667
132912180675530000;45;44.7;44;28.5150928
132912180675630000;45;44.7;44;28.5150928
132912180675730000;45;44.7;44;28.5150928
132912180675830000;45;44.7;44;28.5150928
132912180675930000;45;44.7;44;28.5150928
132912180676030000;45;44.7;44;28.5182171
132912180676130000;45;44.7;44;28.5182171
132912180676230000;45;44.7;44;28.5182171
132912180676330000;45;44.7;44;28.5182171
132912180676430000;45;44.7;44;28.5182171
132912180676530000;45;44.7;44;28.5213413
132912180676630000;45;44.7;44;28.5213413
132912180676730000;45;44.7;44;28.5213413
132912180676830000;45;44.7;44;28.5213413
132912180676930000;45;44.7;44;28.5213413
132912180677030000;45;44.7;44;28.5244675
132912180677130000;45;44.7;44;28.5244675
132912180677230000;45;44.7;44;28.5244675
132912180677330000;45;44.7;44;28.5244675
132912180677430000;45;44.7;44;28.5244675
132912180677530000;45;44.7;44;28.5275917
132912180677630000;45;44.7;44;28.5275917
