,sup_temp_arv,surf_temp_arv
0,15.090000343322753,19.725
1,15.100000381469727,19.689583333333335
2,15.100000381469727,19.775666666666663
3,15.100000381469727,19.740666666666666
4,15.100000381469727,19.844666666666665
5,15.100000381469727,19.788833333333336
6,15.100000381469727,19.737333333333332
7,15.140000152587891,19.836000000000002
8,15.199999809265137,19.828999999999997
9,15.199999809265137,19.819166666666664
10,15.199999809265137,19.870583333333336
11,15.13000020980835,19.85833333333333
12,15.050000190734863,19.882916666666667
13,14.969999885559082,19.96675
14,14.899999618530273,19.874916666666667
15,14.800000190734863,19.83791666666667
16,14.800000190734863,19.728583333333333
17,14.780000114440918,19.752250000000004
18,14.810000133514404,19.656083333333335
19,15.130000019073487,19.717166666666667
20,15.379999732971191,19.72275
21,15.489999961853027,19.856166666666667
22,15.660000038146972,19.776583333333335
23,15.79000015258789,19.906583333333327
24,15.899999713897705,19.862666666666666
25,16.0,20.03325
26,16.739999771118164,20.08908333333333
27,24.689999961853026,20.125916666666665
28,34.079999923706055,20.926416666666665
29,38.62000045776367,22.315166666666666
30,40.5,24.16791666666667
31,41.14000015258789,25.893583333333332
32,38.430000686645506,27.504833333333334
33,34.089999771118165,28.58958333333333
34,30.949999809265137,29.06116666666667
35,29.610000228881837,29.162666666666667
36,30.360000228881837,29.1375
37,32.22000007629394,29.262666666666668
38,34.06000022888183,29.408833333333337
39,35.10999984741211,29.65941666666667
40,35.19999961853027,30.08983333333334
41,34.77999992370606,30.42116666666667
42,34.529999542236325,30.763916666666667
43,34.87999992370605,30.896833333333337
44,35.84000015258789,31.23591666666666
45,37.16999969482422,31.436333333333334
46,38.65,31.813916666666664
47,39.77000007629395,32.2105
48,40.400000381469724,32.68558333333333
49,40.5,33.29866666666667
50,40.32000045776367,33.67275
51,40.07999954223633,34.03841666666666
52,39.94000091552734,34.27408333333334
53,40.07999954223633,34.49783333333333
54,40.39000015258789,34.740500000000004
55,40.79000015258789,34.85958333333333
56,41.16999969482422,35.181749999999994
57,41.41000099182129,35.3875
58,41.49000015258789,35.52308333333333
59,41.40000114440918,35.793416666666666
60,41.279999542236325,35.97575
61,41.12999954223633,35.99516666666666
62,40.92000045776367,36.06316666666667
63,40.67999954223633,36.10641666666666
64,40.460000610351564,36.143166666666666
65,40.25,36.14308333333334
66,40.04999923706055,36.09583333333334
67,39.91000137329102,36.164833333333334
68,39.80999946594238,36.07075
69,39.79999923706055,36.10941666666666
70,39.79999923706055,35.98858333333333
71,39.89000129699707,35.96733333333334
72,39.970000457763675,36.016
73,40.039999389648436,35.90575
74,40.10999870300293,36.001416666666664
75,40.20000076293945,35.98258333333334
76,40.20000076293945,36.00625
77,40.20000076293945,36.041333333333334
