Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912114338030000;40;40.2;39.2;14.3822641
132912114338130000;40;40.2;39.2;14.38018
132912114338230000;40;40.2;39.2;14.38018
132912114338330000;40;40.2;39.2;14.38018
132912114338430000;40;40.2;39.2;14.38018
132912114338530000;40;40.2;39.2;14.38018
132912114338630000;40;40.2;39.2;14.3780975
132912114338730000;40;40.2;39.2;14.3780975
132912114338830000;40;40.2;39.2;14.3780975
132912114338930000;40;40.2;39.2;14.3780975
132912114339030000;40;40.2;39.2;14.3780975
132912114339130000;40;40.2;39.2;14.3760138
132912114339230000;40;40.2;39.2;14.3760138
132912114339330000;40;40.2;39.2;14.3760138
132912114339430000;40;40.2;39.2;14.3760138
132912114339530000;40;40.2;39.2;14.3760138
132912114339630000;40;40.2;39.2;14.3739309
132912114339730000;40;40.2;39.2;14.3739309
132912114339830000;40;40.2;39.2;14.3739309
132912114339930000;40;40.2;39.2;14.3739309
132912114340030000;40;40.2;39.2;14.3739309
132912114340130000;40;40.2;39.2;14.3718472
132912114340230000;40;40.2;39.2;14.3718472
132912114340330000;40;40.2;39.2;14.3718472
132912114340430000;40;40.2;39.2;14.3718472
132912114340530000;40;40.2;39.2;14.3718472
132912114340630000;40;40.2;39.2;14.3697634
132912114340730000;40;40.2;39.2;14.3697634
132912114340830000;40;40.2;39.2;14.3697634
132912114340930000;40;40.2;39.2;14.3697634
132912114341030000;40;40.2;39.2;14.3697634
132912114341130000;40;40.2;39.2;14.3676805
132912114341230000;40;40.2;39.2;14.3676805
132912114341330000;40;40.2;39.2;14.3676805
132912114341430000;40;40.2;39.2;14.3676805
132912114341530000;40;40.2;39.2;14.3676805
132912114341630000;40;40.2;39.2;14.3655968
132912114341730000;40;40.2;39.2;14.3655968
132912114341830000;40;40.2;39.2;14.3655968
132912114341930000;40;40.2;39.2;14.3655968
132912114342030000;40;40.2;39.2;14.3655968
132912114342130000;40;40.2;39.2;14.3635139
132912114342230000;40;40.2;39.2;14.3635139
132912114342330000;40;40.2;39.2;14.3635139
132912114342430000;40;40.2;39.2;14.3635139
132912114342530000;40;40.2;39.2;14.3635139
132912114342630000;40;40.2;39.2;14.36143
132912114342730000;40;40.2;39.2;14.36143
132912114342830000;40;40.2;39.2;14.36143
132912114342930000;40;40.2;39.2;14.36143
132912114343030000;40;40.2;39.2;14.36143
132912114343130000;40;40.2;39.2;14.3593473
132912114343230000;40;40.2;39.2;14.3593473
132912114343330000;40;40.2;39.2;14.3593473
132912114343430000;40;40.2;39.2;14.3593473
132912114343530000;40;40.2;39.2;14.3593473
132912114343630000;40;40.2;39.2;14.3572636
132912114343730000;40;40.2;39.2;14.3572636
132912114343830000;40;40.2;39.2;14.3572636
132912114343930000;40;40.2;39.2;14.3572636
