0,39.06,38.48,38.84,39.14,37.92,38.17
1,39.15,38.56,38.92,38.81,38.38,38.17
2,38.83,38.83,38.68,39.41,38.39,38.19
3,39.23,39.42,39.27,39.31,38.3,37.88
4,38.81,38.65,38.84,38.97,38.39,38.36
5,39.06,38.81,38.58,38.9,37.83,37.99
6,38.72,39.39,39.07,38.47,38.28,38.17
7,38.96,39.06,39.16,39.12,38.01,37.97
8,39.31,38.98,38.91,39.39,38.28,38.56
9,38.87,38.86,38.8,39.04,38.63,38.45
10,39.27,39.2,39.22,38.77,38.36,38.25
11,39.12,39.22,39.15,38.54,38.74,37.97
12,39.12,38.79,39.15,39.11,38.73,38.06
13,39.11,39.12,39.47,38.94,39.0,38.34
14,39.22,39.16,39.09,38.97,38.29,38.36
15,39.12,38.79,38.81,38.7,37.99,38.16
16,39.03,39.05,39.57,38.95,38.55,38.25
17,39.29,38.96,39.15,39.2,39.19,38.45
18,39.46,39.05,39.32,38.62,38.74,37.87
19,39.2,38.95,39.22,38.53,38.44,38.15
20,39.13,39.54,39.23,38.96,38.36,38.27
21,39.3,39.07,39.08,39.05,39.2,37.67
22,39.39,39.41,39.35,39.14,38.93,38.45
23,39.35,38.7,39.39,38.94,38.63,38.34
24,39.54,39.21,39.06,38.79,38.91,38.54
25,39.21,39.12,39.4,38.96,37.99,38.25
26,38.93,39.02,39.04,39.18,38.89,38.72
27,39.43,39.53,38.96,39.35,38.62,38.43
28,39.05,39.22,39.07,39.14,38.1,37.97
29,38.52,39.12,38.88,39.27,38.45,38.24
30,38.86,39.37,39.31,38.69,38.72,37.75
31,39.01,39.44,39.21,38.93,38.8,38.04
32,39.27,39.1,39.28,39.18,38.71,38.43
33,38.85,39.43,39.37,39.1,38.33,38.12
34,39.18,39.1,38.95,38.93,38.89,38.14
35,39.92,39.18,38.95,39.17,38.52,38.13
36,38.98,38.66,38.76,38.57,38.41,38.02
37,38.81,38.93,39.29,39.23,38.43,38.68
38,39.42,39.19,38.78,39.09,38.52,38.03
39,38.83,38.75,39.52,38.75,38.59,38.31
40,38.75,39.1,38.95,38.83,38.43,38.03
41,39.59,39.03,39.3,39.0,38.26,38.32
42,38.74,38.33,39.02,38.9,37.96,37.73
43,39.16,39.34,38.85,39.08,38.14,38.12
44,39.5,39.18,39.28,38.91,38.33,38.12
45,39.09,39.09,39.28,39.25,37.96,38.52
46,39.43,39.27,38.95,39.34,38.34,38.71
47,39.25,39.35,39.29,38.99,38.06,37.43
48,38.82,39.08,39.35,39.07,38.78,38.02
49,39.14,39.0,39.43,38.72,38.23,38.21
50,38.91,38.68,38.78,39.07,38.34,37.82
51,39.44,39.35,39.04,39.27,38.6,38.62
52,39.14,39.49,38.92,38.8,38.5,38.01
53,38.9,38.74,39.09,38.81,38.59,38.2
54,38.91,39.08,39.18,38.74,38.6,38.13
55,39.16,39.0,38.77,39.07,38.33,38.03
56,39.6,39.1,39.63,39.51,38.34,38.24
57,39.08,39.17,39.02,39.08,37.95,38.41
58,39.17,39.35,39.03,38.92,38.05,37.64
59,39.33,39.34,39.62,38.99,38.33,38.41
60,38.86,39.2,39.39,38.61,38.45,38.25
61,39.2,39.2,39.39,39.03,38.89,38.63
62,39.01,39.44,39.46,39.34,38.07,37.93
63,39.28,39.13,39.32,39.36,39.0,38.62
64,39.01,39.42,39.19,39.42,38.52,38.14
65,39.01,39.42,39.19,39.42,38.52,38.14
66,39.35,39.11,39.13,39.26,38.07,38.33
67,39.52,39.11,39.38,39.02,38.44,38.63
68,39.25,39.52,39.37,39.25,38.43,38.32
69,39.25,39.52,39.37,39.25,38.43,38.32
70,38.6,38.94,39.13,39.1,38.16,37.75
71,38.94,39.47,39.4,38.69,38.64,38.24
72,38.95,39.04,38.89,39.28,38.36,38.35
